YEAR	CROPCODE	CROP_DESC	MON_CG	MON_CG_DESC	MON_LC	MON_LC_DESC	LC_MIDDENDETA	LC_MIDDENDETA_DESC	MON_VROEG_LAAT	IS_VROEG	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2023	700	Grasklaver	MON_GRASSEN	Grassen	MON_TYPE_GRASSEN	grassen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	721	Eenjarige klaver	MON_KLAVER	Klaver	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	1	1	1	0
2023	722	Meerjarige klaver	MON_KLAVER	Klaver	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	1	1	1	0
2023	723	Rode klaver	MON_KLAVER	Klaver	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	731	Eenjarige luzerne	MON_LUZERNE	Luzerne	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	1	1	1	0
2023	732	Meerjarige luzerne	MON_LUZERNE	Luzerne	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	1	1	1	0
2023	741	Voederkool (bladkool)	MON_KOOLACHTIGEN	Koolachtigen	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	742	Voederwortelen	MON_WORTEL	Wortel	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	743	Andere voedergewassen	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	744	Mengsel van vlinderbloemigen	MON_VLINDERBLOEMIGEN	Vlinderbloemigen	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	1	1	1	0
2023	745	Mengsel van gras en vlinderbloemigen (andere dan grasklaver of grasluzerne)	MON_GRASSEN	Grassen	MON_TYPE_GRASSEN	grassen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	1	1	1	0
2023	746	Voederrapen	MON_VOEDERRAPEN	Voederrapen	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	747	Wikke	MON_WIKKEN	Wikken	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	749	Mengsel met 1 of meerdere vlinderbloemigen	MON_VLINDERBLOEMIGEN	Vlinderbloemigen	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_VROEGE	1	0	1	1	1	0
2023	831	Erwten (andere dan droog geoogst) - industrie	MON_ERWTEN	Erwten	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	832	Tuin- en veldbonen (Vicia faba) - industrie	MON_WIKKEN	Wikken	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	856	Andere kruiden -  industrie	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	858	Andere meerjarige kruiden - industrie	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_LATE	0	1	1	0	1	0
2023	859	Peterselie - industrie	MON_PETERSELIE	Peterselie	MON_TYPE_BOUWLAND	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	860	Kervel - industrie	MON_KERVEL	Kervel	MON_TYPE_BOUWLAND	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	863	Wortelpeterselie - industrie	MON_PETERSELIE	Peterselie	MON_TYPE_BOUWLAND	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	864	Basilicum - industrie	MON_BASILICUM	Basilicum	MON_TYPE_BOUWLAND	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
