YEAR	CROPCODE	CROP_DESC	GEWASHOOFDGROEPENGELS	DIV_CROPGROUP	DIV_CROPGROUP_DESC	MON_CROPGROUP_ORIG	MON_CROPGROUP	MON_CROPGROUP_DESC	MON_LC_GROUP_NL	MON_LC_GROUP_ORIG	MON_LC_GROUP	MON_LC_GROUP_DESC	LC_MIDDENDETAIL	LC_MIDDENDETAIL_DESC	MON_EARLY_LATE	IS_VROEG	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL	IGNORE_ERASE_LAYER
2023	872	Andere hennep dan vezelhennep (niet voor menselijke consumptie)	MON_LC_ARABLE	DIV_HENNEP	Hennep	MON_HENNEP	MON_HENNEP	Hennep	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_VLAS_HENNEP	Vlas en hennep	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	881	Engelwortel - vers	MON_LC_ARABLE	DIV_ENGELWORTEL	Engelwortel	MON_ENGELWORTEL	MON_ENGELWORTEL	Engelwortel	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	882	Mariadistel	MON_LC_ARABLE	DIV_MARIADISTEL	Mariadistel	MON_MARIADISTEL	MON_MARIADISTEL	Mariadistel	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	0	1	1	1	0	0
2023	883	Bebossing (korte omlooptijd)	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS			MON_MOEILIJK_ZONDER_KLASSIFICATIE	MON_MOEILIJK_ZONDER_KLASSIFICATIE	Moeilijk zonder klassificatie	MON_TYPE_MOEILIJK_ZONDER_KLASSIFICATIE	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS	moeilijk zonder klassificatie	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_TEELTEN_LATE	0	1	1	0	1	0	0
2023	884	Miscanthus	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS			MON_MISCANTHUS	MON_MISCANTHUS	MON_MISCANTHUS	MON_TYPE_MOEILIJK_ZONDER_KLASSIFICATIE	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS	moeilijk zonder klassificatie	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	1	0	1	0	0
2023	894	Bebossing met contract voor 2008	MON_LC_BOS			MON_BOS	MON_BOS	MON_BOS	MON_TYPE_BOS	MON_LC_BOS	MON_LC_BOS	bos	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_TEELTEN_LATE	0	1	1	0	1	0	1
2023	895	Bomen in groep	MON_LC_BOS			MON_BOS	MON_BOS	MON_BOS	MON_TYPE_BOS	MON_LC_BOS	MON_LC_BOS	bos	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_TEELTEN_LATE	0	1	1	0	1	0	1
2023	898	Permacultuur	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS			MON_MOEILIJK_ZONDER_KLASSIFICATIE	MON_MOEILIJK_ZONDER_KLASSIFICATIE	Moeilijk zonder klassificatie	MON_TYPE_MOEILIJK_ZONDER_KLASSIFICATIE	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS	MON_LC_IGNORE_DIFFICULT_PERMANENT_CLASS	moeilijk zonder klassificatie	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	1	0	1	0	0
2023	899	Rotatieteelt van groentegewassen (vb pluktuin)	MON_LC_ARABLE	DIV_ANDERE_SUBSIDIABELE_GEWASSEN_GROENTEN	Andere subsidiabele gewassen groenten - gebruik: gewasdiversificatie	MON_ANDERE_SUBSIDIABELE_GEWASSEN_GROENTEN	MON_ANDERE_SUBSIDIABELE_GEWASSEN_GROENTEN	Andere subsidiabele gewassen groenten - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0	0
2023	901	Aardappelen (geplande oogst vanaf 1/9)	MON_LC_ARABLE	DIV_AARDAPPELEN	Aardappelen	MON_AARDAPPELEN	MON_AARDAPPELEN	Aardappelen	MON_TYPE_BOUWLAND	MON_LC_ARABLE	MON_LC_ARABLE	bouwland	LC_MD_AARDAPPELEN	Aardappelen	MON_TEELTEN_LATE	0	0	0	1	1	0	0
